t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,13.6398286819458,4.579010963439941,13.687830924987793,-1.0386604070663452,-0.9804391264915466,19.858726501464844,22.582805633544922,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.02,13.427252769470215,4.944676876068115,13.73831844329834,-1.0935307741165161,-0.9917482733726501,19.836389541625977,22.257837295532227,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.04,13.30709457397461,4.184221267700195,14.542116165161133,-1.101655125617981,-1.0027389526367188,20.150920867919922,22.007413864135742,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.06,13.018906593322754,4.049799919128418,14.951400756835938,-1.1324485540390015,-1.0157098770141602,20.234554290771484,21.791494369506836,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.08,13.074858665466309,4.227060317993164,15.542967796325684,-1.1780322790145874,-1.0319421291351318,20.74617576599121,21.648488998413086,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.1,13.278809547424316,4.173232555389404,16.006380081176758,-1.2003237009048462,-1.0487802028656006,21.211950302124023,21.57179069519043,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.12,13.277493476867676,3.6221859455108643,16.44820785522461,-1.226347804069519,-1.0665369033813477,21.446577072143555,21.53139305114746,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.14,13.499768257141113,3.042984962463379,16.7536678314209,-1.2644957304000854,-1.0863327980041504,21.729907989501953,21.529624938964844,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.16,13.59154987335205,2.805400848388672,16.883737564086914,-1.3085116147994995,-1.1085506677627563,21.855459213256836,21.54462242126465,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.18,13.532689094543457,2.613931894302368,16.824356079101562,-1.3488599061965942,-1.1325815916061401,21.749143600463867,21.55075454711914,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.2,13.551504135131836,2.4589762687683105,16.658796310424805,-1.3743990659713745,-1.1567633152008057,21.614933013916016,21.54663848876953,0.0,-0.4000000059604645,-0.0,0.0,off
0.22,13.475739479064941,2.5755960941314697,16.357179641723633,-1.3901339769363403,-1.1801003217697144,21.349159240722656,21.519643783569336,0.0,-0.4000000059604645,-0.0,0.0,off
0.24,13.314831733703613,2.7621653079986572,16.028888702392578,-1.4034370183944702,-1.2024339437484741,21.01997947692871,21.464452743530273,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.26,13.305413246154785,2.6897642612457275,15.778172492980957,-1.398666262626648,-1.2220571041107178,20.813926696777344,21.396074295043945,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.28,13.32103157043457,2.1343984603881836,15.50118350982666,-1.3356300592422485,-1.2334144115447998,20.54974937438965,21.309125900268555,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.3,13.470231056213379,1.696501612663269,15.237058639526367,-1.2675915956497192,-1.2368321418762207,20.408164978027344,21.216814041137695,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.32,13.676679611206055,1.5563184022903442,14.833684921264648,-1.2294548749923706,-1.2360944747924805,20.236400604248047,21.117021560668945,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.34,13.933486938476562,1.8161834478378296,14.102715492248535,-1.2352317571640015,-1.2360081672668457,19.90796661376953,20.994644165039062,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.36,14.392668724060059,1.6481313705444336,13.803638458251953,-1.218509554862976,-1.2342582941055298,20.01013946533203,20.892505645751953,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.38,15.496060371398926,1.0396145582199097,12.915736198425293,-1.1959413290023804,-1.230426549911499,20.199626922607422,20.80693817138672,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.4,15.500349998474121,0.24053335189819336,11.32083511352539,-1.2025007009506226,-1.2276339530944824,19.195833206176758,20.61263656616211,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.42,15.416616439819336,0.21914029121398926,10.073610305786133,-1.2274812459945679,-1.22761869430542,18.417320251464844,20.350940704345703,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.44,15.356972694396973,0.5988638401031494,7.987109184265137,-1.2900208234786987,-1.2338589429855347,17.3201961517334,19.980154037475586,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.46,14.996146202087402,2.0914740562438965,5.30555534362793,-1.376184105873108,-1.248091459274292,16.043926239013672,19.467727661132812,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.48,15.281222343444824,3.4481663703918457,3.04195237159729,-1.4379793405532837,-1.267080307006836,15.958041191101074,18.919239044189453,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.5,15.670634269714355,2.4557223320007324,2.666383981704712,-1.3408292531967163,-1.274455189704895,16.08443260192871,18.45452117919922,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.52,15.608794212341309,0.12386691570281982,3.496901750564575,-1.1720598936080933,-1.2642155885696411,15.996191024780273,18.081756591796875,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.54,16.42949104309082,0.05427885055541992,3.9645779132843018,-1.1093329191207886,-1.2487273216247559,16.901153564453125,17.86049461364746,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.56,17.167516708374023,0.4774360656738281,3.4061501026153564,-1.0621939897537231,-1.2300739288330078,17.5086669921875,17.718595504760742,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.58,17.516908645629883,1.0046517848968506,2.4537994861602783,-1.0388492345809937,-1.2109514474868774,17.716449737548828,17.60074234008789,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.6,17.31891632080078,1.3673007488250732,1.2163641452789307,-1.032061219215393,-1.193062424659729,17.415334701538086,17.44810676574707,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.62,17.448211669921875,1.4105064868927002,-0.22875285148620605,-1.014107584953308,-1.1751668453216553,17.50662612915039,17.29072380065918,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.64,17.545299530029297,1.3159914016723633,-1.230870008468628,-1.01073157787323,-1.15872323513031,17.637584686279297,17.152544021606445,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.66,18.1567440032959,1.0472469329833984,-1.9495103359222412,-1.0025745630264282,-1.1431083679199219,18.291109085083008,17.09451675415039,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.68,18.968107223510742,0.6397833824157715,-1.9657924175262451,-1.0001050233840942,-1.1288080215454102,19.080429077148438,17.150177001953125,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.7000000000000001,19.43108367919922,0.01001739501953125,-1.9716641902923584,-0.9855361580848694,-1.1144808530807495,19.53086280822754,17.269737243652344,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.72,19.76981544494629,-0.35718870162963867,-2.504753828048706,-0.9937418103218079,-1.1024068593978882,19.931055068969727,17.423114776611328,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.74,19.939382553100586,-0.6853847503662109,-3.184974431991577,-0.9991925358772278,-1.092085361480713,20.203781127929688,17.5899658203125,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.76,19.93797492980957,-0.9076306819915771,-3.555785894393921,-1.0089584589004517,-1.0837726593017578,20.27289390563965,17.75846290588379,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.78,20.055206298828125,-1.056433916091919,-3.807406187057495,-1.0255378484725952,-1.0779491662979126,20.440736770629883,17.940378189086914,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.8,20.044321060180664,-0.9711859226226807,-4.239932060241699,-1.0319503545761108,-1.0733492374420166,20.51085090637207,18.119356155395508,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.8200000000000001,20.00415802001953,-0.8951714038848877,-4.447487831115723,-1.022922396659851,-1.0683064460754395,20.51213836669922,18.292516708374023,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.84,20.0089168548584,-0.9425863027572632,-4.56011962890625,-1.0100940465927124,-1.0624852180480957,20.543609619140625,18.462675094604492,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.86,19.89473533630371,-1.2136963605880737,-4.6053924560546875,-1.0141671895980835,-1.0576534271240234,20.45686149597168,18.615934371948242,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.88,19.603199005126953,-1.5414347648620605,-4.627723693847656,-1.0252896547317505,-1.0544170141220093,20.2009220123291,18.73461151123047,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.9,19.30953598022461,-1.7989015579223633,-4.5977277755737305,-1.051831841468811,-1.0541584491729736,19.930713653564453,18.820384979248047,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.92,18.9992618560791,-2.0191855430603027,-4.456693649291992,-1.091539740562439,-1.0578964948654175,19.61915397644043,18.872703552246094,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.9400000000000001,18.712907791137695,-2.2303268909454346,-4.264993667602539,-1.1355093717575073,-1.0656577348709106,19.321941375732422,18.895458221435547,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.96,18.48073387145996,-2.4018502235412598,-3.9103686809539795,-1.1798781156539917,-1.0770797729492188,19.041990280151367,18.893850326538086,-0.0,-0.4000000059604645,-0.0,-0.0,off
0.98,18.351512908935547,-2.5085251331329346,-3.4778239727020264,-1.2219957113265991,-1.09157133102417,18.845848083496094,18.877967834472656,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.0,18.578872680664062,-2.5421066284179688,-3.3994624614715576,-1.2536777257919312,-1.107782006263733,19.057626724243164,18.887483596801758,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.02,18.80069351196289,-2.486360549926758,-3.371398687362671,-1.321586012840271,-1.1291624307632446,19.261734008789062,18.91884422302246,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.04,18.906898498535156,-2.4368057250976562,-3.462660551071167,-1.3899744749069214,-1.1552436351776123,19.375211715698242,18.959606170654297,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.06,18.95318603515625,-2.3044207096099854,-3.4946916103363037,-1.456004023551941,-1.1853196620941162,19.409957885742188,19.00120735168457,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.08,18.97890853881836,-2.204280376434326,-3.42612624168396,-1.518222689628601,-1.2186100482940674,19.411237716674805,19.040021896362305,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.1,18.913745880126953,-2.1209797859191895,-3.5545108318328857,-1.566351294517517,-1.2533842325210571,19.361377716064453,19.070154190063477,0.0,-0.4000000059604645,-0.0,0.0,off
1.12,18.86541175842285,-2.0486464500427246,-3.6494014263153076,-1.6073874235153198,-1.2887845039367676,19.324047088623047,19.09371566772461,0.0,-0.4000000059604645,-0.0,0.0,off
1.1400000000000001,18.88292694091797,-1.9892733097076416,-3.6841533184051514,-1.6360234022140503,-1.323508381843567,19.34153938293457,19.117008209228516,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.16,18.845672607421875,-1.9302265644073486,-3.6939094066619873,-1.6489874124526978,-1.3560562133789062,19.30103874206543,19.134220123291016,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.18,18.773454666137695,-1.964691400527954,-3.7177722454071045,-1.6645296812057495,-1.3869035243988037,19.238618850708008,19.143550872802734,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.2,18.7014217376709,-1.9664807319641113,-3.7374894618988037,-1.6678351163864136,-1.41499662399292,19.172351837158203,19.14543342590332,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.22,18.591594696044922,-1.9838969707489014,-3.7358996868133545,-1.6609643697738647,-1.4395934343338013,19.066730499267578,19.13667869567871,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.24,18.467058181762695,-2.0316829681396484,-3.733891248703003,-1.6437054872512817,-1.4600045680999756,18.949983596801758,19.117172241210938,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.26,18.312292098999023,-2.0471315383911133,-3.792504072189331,-1.6411961317062378,-1.478123664855957,18.812597274780273,19.08578872680664,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.28,18.20849609375,-2.105764627456665,-3.8757989406585693,-1.650267481803894,-1.4953380823135376,18.735137939453125,19.04960823059082,-0.0,-0.4000000059604645,-0.0,-0.0,off
1.3,18.132028579711914,-2.1549479961395264,-3.92154860496521,-1.6602267026901245,-1.5118268728256226,18.675994873046875,19.011091232299805,-0.0,-0.4000000059604645,-0.0,-0.0,off
